Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,4.1820953474240417e-4,4.166552988849048e-4,3.0428867355318805e-4,5.474511844848706e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,7.984639871542331,7.999780484776235,6.630451801654036,9.38834351755229
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.07096278418684855,-0.07095237994815293,-0.08444094161551502,-0.058193941538627975
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.003157192789737638,-0.003130077594058889,-0.004159932151075261,-0.002254020716398021
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.00575823439934063,-0.005757300448691642,-0.007070783358687033,-0.004585707986870828
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-6.568764476826005e-5,-6.525023461218118e-5,-8.936664260551626e-5,-4.511918994628156e-5
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,2.8753374939108236e-4,2.8611729206939884e-4,2.1073212902384953e-4,3.746425493288629e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.010115540773218785,0.010055327105598106,0.007924325942496693,0.012510597966002828
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.003271827395219332,0.0032527132512422258,0.0026166514665862577,0.004017110853196289
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.010398654368775503,0.010334237254108203,0.00814592511229555,0.012839474192141818
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.010115540773218785,0.010055327105598106,0.007924325942496693,0.012510597966002828
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.003271827395219332,0.0032527132512422258,0.0026166514665862577,0.004017110853196289
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,2.8753374939108236e-4,2.8611729206939884e-4,2.1073212902384953e-4,3.746425493288629e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.010403074522609877,0.010338303986136665,0.00815002198048731,0.012844288390023405
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-13.548092328771272,-13.452240446699975,-18.22169923193827,-9.56398147241208
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-7.9425364053281315,-7.930366506889276,-9.39701052778411,-6.546080087095486
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-3.149238150128058,-3.142485109102865,-3.891889674645405,-2.4759874118452703
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-11.091774555456189,-11.082431532373164,-13.246522264017614,-9.090400288107169
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-24.639866884227462,-24.565540796069836,-31.07702191704389,-18.766935705091345
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66182158801368,68.6618221253058,68.6616783009472,68.66195275909062
Overall,70,80,ReRZV_1d,2024,1,dC_Vac,178.66182158801368,178.6618221253058,178.6616783009472,178.66195275909064
Overall,70,80,ReRZV_1d,2024,1,dC_All,154.02195470378624,154.09625623299024,147.5847445597691,159.89498219704785
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp_d,-13.548092328771272,-13.452240446699975,-18.22169923193827,-9.56398147241208
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN_d,-7.9425364053281315,-7.930366506889276,-9.39701052778411,-6.546080087095486
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN_d,-3.149238150128058,-3.142485109102865,-3.891889674645405,-2.4759874118452703
Overall,70,80,ReRZV_1d,2024,1,dC_GP_d,-11.091774555456189,-11.082431532373164,-13.246522264017614,-9.090400288107169
Overall,70,80,ReRZV_1d,2024,1,dC_Med_d,-24.639866884227462,-24.565540796069836,-31.07702191704389,-18.766935705091345
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV_d,68.66182158801368,68.6618221253058,68.6616783009472,68.66195275909062
Overall,70,80,ReRZV_1d,2024,1,dC_Vac_d,178.66182158801368,178.6618221253058,178.6616783009472,178.66195275909064
Overall,70,80,ReRZV_1d,2024,1,dC_All_d,154.02195470378624,154.09625623299024,147.5847445597691,159.89498219704785
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV,0.8077861363295727,0.8077861426506564,0.807784450599379,0.8077876795187133
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV_d,0.8077861363295727,0.8077861426506564,0.807784450599379,0.8077876795187133
Overall,70,80,ReRZV_1d,2024,1,ICER,15039.205787091278,14884.645317369861,11581.477553646511,19517.92109840521
Overall,70,80,ReRZV_1d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_1d,2024,1,Thres20,288.07297556893957,286.6840337725935,226.05107324846293,355.30256275633974
Overall,70,80,ReRZV_1d,2024,1,Thres30,416.8579842928653,414.6118211999756,327.48618115481764,513.8553780521122
Overall,70,80,ReRZV_1d,2024,1,Thres20_50,NA,286.6840337725935,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres30_90,NA,354.8497434969433,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres,NA,286.6840337725935,NA,NA
Overall,70,80,ReRZV_2d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dYear_Life,4.98856679915555e-4,4.982766418173412e-4,3.858172393170989e-4,6.17505159372289e-4
Overall,70,80,ReRZV_2d,2024,1,dYear_Immunised,8.95842460721712,8.99586977350237,7.671886174037901,10.156603174800056
Overall,70,80,ReRZV_2d,2024,1,dRisk_HZ,-0.08013476352567514,-0.0803428904350446,-0.09178647335996867,-0.06817286804007645
Overall,70,80,ReRZV_2d,2024,1,dRisk_Hosp,-0.0037891620756590814,-0.003763384682965721,-0.004749131864757264,-0.0028555094691992675
Overall,70,80,ReRZV_2d,2024,1,dRisk_PHN,-0.006583506246493926,-0.006593398676895222,-0.007740953273819534,-0.005446246683230983
Overall,70,80,ReRZV_2d,2024,1,dRisk_Death,-8.089462677816977e-5,-8.066806137607148e-5,-1.0355033160906965e-4,-5.995002587575612e-5
Overall,70,80,ReRZV_2d,2024,1,dQ_Life,3.419735129095578e-4,3.417589430023682e-4,2.652127093415224e-4,4.2248671775491076e-4
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ,0.01150829023214491,0.011479476001805437,0.009328025415131103,0.013769258837040343
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_Norm,0.003681297745421183,0.0036669586845210636,0.003024354195517283,0.004398286051788145
Overall,70,80,ReRZV_2d,2024,1,dQ_All,0.011844603091481679,0.011812491505449607,0.009600274621744153,0.014151827973275431
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_d,0.01150829023214491,0.011479476001805437,0.009328025415131103,0.013769258837040343
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_Norm_d,0.003681297745421183,0.0036669586845210636,0.003024354195517283,0.004398286051788145
Overall,70,80,ReRZV_2d,2024,1,dQ_Life_d,3.419735129095578e-4,3.417589430023682e-4,2.652127093415224e-4,4.2248671775491076e-4
Overall,70,80,ReRZV_2d,2024,1,dQ_All_d,0.011850263745054481,0.011818313252465629,0.009605719983507965,0.014158235738563892
Overall,70,80,ReRZV_2d,2024,1,dC_Hosp,-16.36534409385579,-16.283109901831775,-20.776124833357397,-12.193914067630272
Overall,70,80,ReRZV_2d,2024,1,dC_GP_NonPHN,-8.931081543164527,-8.945706128086261,-10.167261596047586,-7.6257032520713475
