Age,Class,Full1d,Full2d,Sole2d,Mar2d
60,Unvaccinated,302.16266981187255,349.17908594568735,174.58954297284367,47.0164161338148
65,Unvaccinated,292.21269803393244,336.3828608355393,168.19143041776965,44.170162801606864
70,Unvaccinated,273.349980916514,312.89791086921707,156.44895543460854,39.54792995270304
75,Unvaccinated,244.24185321142778,278.83481981660555,139.41740990830277,34.592966605177764
80,Unvaccinated,204.93010751601338,234.3624691510149,117.18123457550745,29.432361635001513
80,ZVL@70,153.55300533268348,184.41268940827058,92.20634470413529,30.859684075587097
85,Unvaccinated,160.10867235130968,183.26132269294706,91.63066134647353,23.152650341637383
85,ZVL@70,125.1614886092386,148.80717397580057,74.40358698790028,23.645685366561963
90,Unvaccinated,116.83730636424227,133.23357235456757,66.61678617728379,16.396265990325304
90,ZVL@70,89.56237493165403,105.57227910684682,52.78613955342341,16.009904175192787
95,Unvaccinated,75.70709787509341,86.54412284166685,43.272061420833424,10.837024966573438
95,ZVL@70,53.65863442710828,63.0634369030649,31.53171845153245,9.404802475956615
