Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,70,80,N0,1,1,1,1
Overall,ReRZV_1d,70,80,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,70,80,Year_Life,16.743549759503495,16.74355392627146,16.743363637535722,16.743702023252908
Overall,ReRZV_1d,70,80,Year_Immunised,8.288520849779893,8.31701829148317,6.118799142785337,10.157214391912312
Overall,ReRZV_1d,70,80,Risk_HZ,0.07538466227548463,0.07505708690927337,0.05748899310435264,0.095899591015893
Overall,ReRZV_1d,70,80,Risk_Hosp,0.0031734143395721203,0.003120562229132003,0.0019890166149142065,0.004665475903216205
Overall,ReRZV_1d,70,80,Risk_PHN,0.006122383810060062,0.0060973737868040626,0.004491139663941814,0.008065674696161072
Overall,ReRZV_1d,70,80,Risk_Death,6.409860653826583e-5,6.353661865863178e-5,3.69021842598534e-5,9.692725328844468e-5
Overall,ReRZV_1d,70,80,Q_Life,12.680947890150584,12.680950845203316,12.680821141112377,12.68105124742815
Overall,ReRZV_1d,70,80,Q_HZ,-0.010701837170260336,-0.010624177855575487,-0.01413256163279877,-0.007796708177889268
Overall,ReRZV_1d,70,80,Q_HZ_Norm,-0.0034773552626254406,-0.0034472298183105673,-0.0045259630776316095,-0.0025937809173448736
Overall,ReRZV_1d,70,80,Q_All,12.650574320990696,12.650651592468144,12.647027186013538,12.653567734531848
Overall,ReRZV_1d,70,80,Q_HZ_d,-0.010701837170260336,-0.010624177855575487,-0.01413256163279877,-0.007796708177889268
Overall,ReRZV_1d,70,80,Q_HZ_Norm_d,-0.0034773552626254406,-0.0034472298183105673,-0.0045259630776316095,-0.0025937809173448736
Overall,ReRZV_1d,70,80,Q_Life_d,12.680947890150584,12.680950845203316,12.680821141112377,12.68105124742815
Overall,ReRZV_1d,70,80,Q_All_d,12.670246052980325,12.670322404731698,12.6666974443039,12.673242301576721
Overall,ReRZV_1d,70,80,C_Hosp,13.531775364310816,13.271396498767071,8.281370164182235,20.183970991488533
Overall,ReRZV_1d,70,80,C_GP_NonPHN,8.453465670458565,8.419831754294478,6.497382876616701,10.697409745467775
Overall,ReRZV_1d,70,80,C_GP_PHN,3.357853445463696,3.3373611945043953,2.4548945332568453,4.414631857086281
Overall,ReRZV_1d,70,80,C_GP,11.811319115922261,11.756436457235111,8.989217014573802,14.99774415123647
Overall,ReRZV_1d,70,80,C_Med,25.343094480233077,25.10912221181494,17.44810543753029,35.126742339744446
Overall,ReRZV_1d,70,80,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,70,80,C_VacRZV,68.66182112291749,68.66182270066724,68.66167936882835,68.66194765484585
Overall,ReRZV_1d,70,80,C_Vac,178.66182112291747,178.66182270066724,178.66167936882837,178.66194765484585
Overall,ReRZV_1d,70,80,C_All,204.00491560315055,203.77082943094095,196.11003769054184,213.7884904419922
