Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_50,50,RZV_1d,2024,1,dYear_Life,1.527878523218611e-4,1.3497708093268557e-4,4.823399468207867e-5,3.5333434314086513e-4
Vac_50,50,RZV_1d,2024,1,dYear_Immunised,10.49525203730522,10.062988956750615,5.778856125477729,17.39558465398703
Vac_50,50,RZV_1d,2024,1,dRisk_HZ,-0.06364830715267196,-0.060184086175864335,-0.1145076427137583,-0.030633687906262953
Vac_50,50,RZV_1d,2024,1,dRisk_Hosp,-0.0011970180173309717,-0.001056044481349102,-0.0028006610385520048,-4.082914429525434e-4
Vac_50,50,RZV_1d,2024,1,dRisk_PHN,-0.0033586011701229788,-0.00309638714293947,-0.006733068395364983,-0.0014011233983127304
Vac_50,50,RZV_1d,2024,1,dRisk_Death,-1.9442237676856316e-5,-1.6674323875890567e-5,-4.8351175759256275e-5,-5.3404348958449516e-6
Vac_50,50,RZV_1d,2024,1,dQ_Life,1.0732416202348105e-4,9.529320178103262e-5,3.428336301931623e-5,2.469415122819285e-4
Vac_50,50,RZV_1d,2024,1,dQ_HZ,0.007780100551171483,0.007250686139912818,0.0036399160057727815,0.014411656698909472
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm,0.003188468706831238,0.003015152137433797,0.0015974718077472914,0.005659091572536592
Vac_50,50,RZV_1d,2024,1,dQ_All,0.007886240608351108,0.0073418190743108624,0.0036770290018488974,0.014632630103826112
Vac_50,50,RZV_1d,2024,1,dQ_HZ_d,0.0045667860133369225,0.004384622399598371,0.002438514962770639,0.007760309267599853
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm_d,0.0020074637904346567,0.0019297499823330163,0.0011189088705054148,0.003248715070788676
Vac_50,50,RZV_1d,2024,1,dQ_Life_d,3.264270854133855e-5,2.9523089533967095e-5,1.1325251374794121e-5,7.211134568625431e-5
Vac_50,50,RZV_1d,2024,1,dQ_All_d,0.004599428721878269,0.004416841664156124,0.002453564420992693,0.007831884538288446
Vac_50,50,RZV_1d,2024,1,dC_Hosp,-4.759264491355528,-4.151641502553229,-11.493825819341264,-1.5289129445325975
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN,-7.552525542302676,-7.143981319551953,-13.426047891178703,-3.7141377139939347
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN,-1.8768302920909627,-1.7367227992923326,-3.7389699962041925,-0.7881855481454652
Vac_50,50,RZV_1d,2024,1,dC_GP,-9.429355834393638,-8.896594445530289,-17.163810071324548,-4.49798214655412
Vac_50,50,RZV_1d,2024,1,dC_Med,-14.188620325749167,-13.044062618854507,-28.35894795269841,-6.073406338749198
Vac_50,50,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All,70.81137967425083,71.95593738114549,56.641052047301585,78.9265936612508
Vac_50,50,RZV_1d,2024,1,dC_Hosp_d,-1.834789987313993,-1.636085843967027,-4.1106488949340365,-0.6815683009312546
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN_d,-4.698607331435165,-4.515898945665057,-7.68576581204508,-2.6107103037824575
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN_d,-0.9887222238027528,-0.9317315734632927,-1.798291415821883,-0.47689422500991124
