Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,4.3805659025387375e-4,4.39165433682831e-4,3.067738692822175e-4,5.596571296180741e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,8.199566976067658,8.232127272672233,6.63695005296297,9.494996151603164
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.07297929832453026,-0.07343270966708636,-0.08538550570985642,-0.05814885573887252
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.0033182751248802753,-0.003310842926569812,-0.004317862231880729,-0.0023214342454711
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.005939697870566972,-0.005973499237215778,-0.0071656956583042155,-0.004556872525570151
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-6.985520446951875e-5,-6.990258327978663e-5,-9.206937917433822e-5,-4.6684754010031375e-5
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,3.007845470615207e-4,3.015789340956587e-4,2.1175427374631184e-4,3.829291340716078e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.01027177717425231,0.010255671165235852,0.007871272253328197,0.012642020605119675
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.003331017686034421,0.0033237966161366065,0.0026058173140077,0.004066118136124849
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.010567743523707002,0.01056310546828243,0.008104376594506135,0.012989262901734966
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.007327140628764373,0.007324514768831284,0.005817264085834811,0.008822098568022749
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.002437186719608741,0.002435763273660053,0.0019644371424365832,0.0029148577341341114
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,1.5707126784686754e-4,1.5747886559491775e-4,1.1396413361000057e-4,1.9734319472468616e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.007484211896611233,0.007479323369115498,0.005939717368401487,0.009001326783925024
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-14.269913981782992,-14.191583917586943,-18.867821696405343,-9.934985965315358
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-8.159284853316704,-8.200620567360627,-9.502182950162126,-6.51588340842768
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-3.243976712073884,-3.259004638734992,-3.9295869254897293,-2.4756584870631717
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-11.403261565390588,-11.465827737672953,-13.331139247413555,-9.0693116170802
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-25.67317554717358,-25.71451575018108,-31.783922090983914,-19.007906127078865
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66182112291749,68.66182270066724,68.66167936882835,68.66194765484585
Overall,70,80,ReRZV_1d,2024,1,dC_Vac,178.66182112291747,178.66182270066724,178.66167936882837,178.66194765484585
Overall,70,80,ReRZV_1d,2024,1,dC_All,152.9886455757439,152.9473119604094,146.87790601269324,159.6538439598788
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp_d,-8.747816042145551,-8.704054648273356,-11.380730800328971,-6.245164267538044
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN_d,-5.977125235106183,-6.010954776883287,-6.810940196231398,-4.99803344259258
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN_d,-2.300485865776086,-2.3103352075278085,-2.7334801300456433,-1.8216162923589228
Overall,70,80,ReRZV_1d,2024,1,dC_GP_d,-8.27761110088227,-8.324146256248607,-9.488948732445724,-6.864501016670109
Overall,70,80,ReRZV_1d,2024,1,dC_Med_d,-17.02542714302782,-17.055054798609874,-20.56133916971032,-13.176386351273623
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV_d,48.67565677761124,48.67565789610772,48.675556285470535,48.67574647847579
Overall,70,80,ReRZV_1d,2024,1,dC_Vac_d,158.67565677761124,158.67565789610774,158.67555628547055,158.67574647847576
Overall,70,80,ReRZV_1d,2024,1,dC_All_d,141.6502296345834,141.62057812265607,138.1144144990117,145.49933445837496
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV,0.8077861308578528,0.8077861494196146,0.8077844631626865,0.8077876194687745
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV_d,0.5726547856189558,0.572654798777738,0.5726536033584769,0.5726558409232445
Overall,70,80,ReRZV_1d,2024,1,ICER,19150.646357491853,18898.80652235545,15408.364549652168,24521.132414735894
Overall,70,80,ReRZV_1d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_1d,2024,1,Thres20,291.1172110343955,291.5524210838603,230.07830505532368,349.3069715705463
Overall,70,80,ReRZV_1d,2024,1,Thres30,421.81046711636264,422.2905594828218,334.05604791324026,506.1704915964213
Overall,70,80,ReRZV_1d,2024,1,Thres20_50,NA,291.5524210838603,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres30_90,NA,366.3059069588128,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres,NA,291.5524210838603,NA,NA
Overall,70,80,ReRZV_2d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dYear_Life,4.989031508044928e-4,4.99930494585854e-4,3.839830256428201e-4,6.111212785489429e-4
Overall,70,80,ReRZV_2d,2024,1,dYear_Immunised,8.95861999871938,9.00066509474178,7.6103069550284514,10.032517179367305
Overall,70,80,ReRZV_2d,2024,1,dRisk_HZ,-0.08014642204275271,-0.08057813240903455,-0.09043087336586561,-0.06713503055566968
Overall,70,80,ReRZV_2d,2024,1,dRisk_Hosp,-0.003786969957297043,-0.003773687094788197,-0.004729579959327638,-0.002866626130378536
Overall,70,80,ReRZV_2d,2024,1,dRisk_PHN,-0.006586740882607,-0.006628373466274304,-0.007648946274174463,-0.005334264214813216
Overall,70,80,ReRZV_2d,2024,1,dRisk_Death,-8.080202118995035e-5,-8.063131136902325e-5,-1.0183110975592457e-4,-5.983143058519957e-5
Overall,70,80,ReRZV_2d,2024,1,dQ_Life,3.420384018127285e-4,3.4319027754659004e-4,2.637652914607713e-4,4.1802565906334793e-4
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ,0.011335621070955018,0.01132223712735067,0.009132113285127936,0.013543099423724956
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_Norm,0.003648657989723404,0.0036358179307507035,0.0029633826742062087,0.004341758600238138
Overall,70,80,ReRZV_2d,2024,1,dQ_All,0.011672027860098235,0.011654230451468628,0.00941772549902491,0.013907688766996214
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_d,0.007957843514929638,0.007946586859428603,0.006566549949377482,0.009363572059098107
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_Norm_d,0.002627012641237808,0.002622400186443438,0.0021937763514611394,0.0030851958934789564
Overall,70,80,ReRZV_2d,2024,1,dQ_Life_d,1.7718332282591208e-4,1.7765564114569088e-4,1.386145702551911e-4,2.1424342215725645e-4
Overall,70,80,ReRZV_2d,2024,1,dQ_All_d,0.008135026837755596,0.008125436560428412,0.00672262660353673,0.009558014608908927
Overall,70,80,ReRZV_2d,2024,1,dC_Hosp,-16.343956595504974,-16.251171720680617,-20.61357383533454,-12.334426979694353
Overall,70,80,ReRZV_2d,2024,1,dC_GP_NonPHN,-8.935298300350288,-8.983063922024792,-10.052611537159951,-7.512367884472007
Overall,70,80,ReRZV_2d,2024,1,dC_GP_PHN,-3.5910592317483228,-3.6056764958273884,-4.211093122502791,-2.9052485136919866
Overall,70,80,ReRZV_2d,2024,1,dC_GP,-12.52635753209861,-12.600289752666715,-14.13001146198178,-10.467048749593816
Overall,70,80,ReRZV_2d,2024,1,dC_Med,-28.87031412760358,-28.89777250311734,-34.18235733865572,-23.063143111643193
Overall,70,80,ReRZV_2d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_2d,2024,1,dC_VacRZV,137.32364224583498,137.3236454013345,137.3233587376567,137.3238953096917
Overall,70,80,ReRZV_2d,2024,1,dC_Vac,247.32364224583498,247.3236454013345,247.32335873765672,247.3238953096917
Overall,70,80,ReRZV_2d,2024,1,dC_All,218.45332811823138,218.4260193137041,213.141237388876,224.26035507313125
Overall,70,80,ReRZV_2d,2024,1,dC_Hosp_d,-9.915487252392067,-9.847322172099258,-12.400828369114889,-7.658245229399357
Overall,70,80,ReRZV_2d,2024,1,dC_GP_NonPHN_d,-6.4416710287683365,-6.476091636718714,-7.138211477739441,-5.581845450716284
Overall,70,80,ReRZV_2d,2024,1,dC_GP_PHN_d,-2.509100007897279,-2.5171135321079676,-2.9091313630930555,-2.0745500070157923
Overall,70,80,ReRZV_2d,2024,1,dC_GP_d,-8.950771036665616,-9.002942328170233,-9.968418185003612,-7.714441390467614
Overall,70,80,ReRZV_2d,2024,1,dC_Med_d,-18.866258289057683,-18.865254616378927,-21.973247809531994,-15.528753253905395
Overall,70,80,ReRZV_2d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_2d,2024,1,dC_VacRZV_d,97.35131355522248,97.35131579221544,97.35111257094107,97.35149295695157
Overall,70,80,ReRZV_2d,2024,1,dC_Vac_d,207.35131355522248,207.35131579221544,207.3511125709411,207.35149295695157
Overall,70,80,ReRZV_2d,2024,1,dC_All_d,188.4850552661648,188.4860917682651,185.3780495216848,191.8225026007874
Overall,70,80,ReRZV_2d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dN_VacRZV,1.6155722617157056,1.6155722988392291,1.615568926325373,1.615575238937549
Overall,70,80,ReRZV_2d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dN_VacRZV_d,1.1453095712379116,1.145309597555476,1.1453072067169539,1.145311681846489
Overall,70,80,ReRZV_2d,2024,1,ICER,23360.608586224156,23175.563467506734,19518.234345845874,28473.2377752563
Overall,70,80,ReRZV_2d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_2d,2024,1,Thres20,158.53075764313516,158.56068194858926,130.99688467087273,185.08031103322244
Overall,70,80,ReRZV_2d,2024,1,Thres30,229.5598226330429,229.46873441343658,190.0265077010115,268.6170392162515
Overall,70,80,ReRZV_2d,2024,1,Thres20_50,NA,158.56068194858926,NA,NA
Overall,70,80,ReRZV_2d,2024,1,Thres30_90,NA,204.75440064724182,NA,NA
Overall,70,80,ReRZV_2d,2024,1,Thres,NA,158.56068194858926,NA,NA
Overall,70,81,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,81,ReRZV_1d,2024,1,dYear_Life,4.2748669115208314e-4,4.2882836845237193e-4,3.02286158248144e-4,5.425043389738703e-4
Overall,70,81,ReRZV_1d,2024,1,dYear_Immunised,7.921505926410819,7.9702990744226,6.536979744542348,9.118418740296228
Overall,70,81,ReRZV_1d,2024,1,dRisk_HZ,-0.07036365807533056,-0.0707695608046381,-0.08157225554887254,-0.05688926221219494
Overall,70,81,ReRZV_1d,2024,1,dRisk_Hosp,-0.003243714855310702,-0.0032365282837168163,-0.004194393320540283,-0.002279741880402357
Overall,70,81,ReRZV_1d,2024,1,dRisk_PHN,-0.005707245094402106,-0.005746224857063172,-0.006819661364424859,-0.004439380971947872
Overall,70,81,ReRZV_1d,2024,1,dRisk_Death,-6.92400997608941e-5,-6.939572079378361e-5,-9.091881642574488e-5,-4.660324301423186e-5
Overall,70,81,ReRZV_1d,2024,1,dQ_Life,2.9314664966635905e-4,2.9430228720350726e-4,2.0830190613079224e-4,3.7035629798269897e-4
Overall,70,81,ReRZV_1d,2024,1,dQ_HZ,0.009912024412332708,0.009903699842594075,0.007650408411394484,0.012147934684589001
Overall,70,81,ReRZV_1d,2024,1,dQ_HZ_Norm,0.0032120391488663406,0.0032087616620281585,0.0025327402616724484,0.0038993544037729862
Overall,70,81,ReRZV_1d,2024,1,dQ_All,0.010200305243071684,0.010188254851747125,0.007866492314713413,0.012478204544401272
Overall,70,81,ReRZV_1d,2024,1,dQ_HZ_d,0.00705673908600957,0.007046821467343659,0.005661874345038515,0.008433677988084464
