Age,Arm,Index,M,fn
60,RZV_2d,Thres20_50,72.89411380526028,zlg
60,RZV_2d,Thres30_90,82.55667010591696,zlg
65,RZV_2d,Thres20_50,82.98386272426208,zlg
65,RZV_2d,Thres30_90,95.82890086665927,zlg
70,RZV_2d,Thres20_50,90.60904073872412,zlg
70,RZV_2d,Thres30_90,107.50423306760129,zlg
75,RZV_2d,Thres20_50,92.83394663637274,zlg
75,RZV_2d,Thres30_90,112.66138637503181,zlg
80,RZV_1d,Thres20_50,143.59923508709326,zlg
80,RZV_1d,Thres30_90,168.35822032729538,zlg
80,RZV_2d,Thres20_50,87.70569640194533,zlg
80,RZV_2d,Thres30_90,107.6295847511331,zlg
85,RZV_1d,Thres20_50,124.8595211200298,zlg
85,RZV_1d,Thres30_90,145.81080949358284,zlg
85,RZV_2d,Thres20_50,75.09883406980377,zlg
85,RZV_2d,Thres30_90,91.91681759874544,zlg
90,RZV_1d,Thres20_50,99.6839638078186,zlg
90,RZV_1d,Thres30_90,113.30729710070784,zlg
90,RZV_2d,Thres20_50,58.94106443951314,zlg
90,RZV_2d,Thres30_90,71.21609828132752,zlg
95,RZV_1d,Thres20_50,69.09405408331472,zlg
95,RZV_1d,Thres30_90,77.18839161675281,zlg
95,RZV_2d,Thres20_50,40.56070695615091,zlg
95,RZV_2d,Thres30_90,47.89628416863817,zlg
60,RZV_2d,Thres20_50,43.771942351714614,zlg_short
60,RZV_2d,Thres30_90,55.806474523358375,zlg_short
65,RZV_2d,Thres20_50,53.01711439811962,zlg_short
65,RZV_2d,Thres30_90,67.54238445067797,zlg_short
70,RZV_2d,Thres20_50,62.87773206552416,zlg_short
70,RZV_2d,Thres30_90,79.29131214651666,zlg_short
75,RZV_2d,Thres20_50,71.29283559391796,zlg_short
75,RZV_2d,Thres30_90,89.30592752670914,zlg_short
80,RZV_1d,Thres20_50,123.9678027970671,zlg_short
80,RZV_1d,Thres30_90,146.01237919875425,zlg_short
80,RZV_2d,Thres20_50,74.26349729158525,zlg_short
80,RZV_2d,Thres30_90,92.16385991021372,zlg_short
85,RZV_1d,Thres20_50,116.76351121888214,zlg_short
85,RZV_1d,Thres30_90,135.5190628611573,zlg_short
85,RZV_2d,Thres20_50,69.4552565695117,zlg_short
85,RZV_2d,Thres30_90,85.10494801617331,zlg_short
90,RZV_1d,Thres20_50,98.31629768293824,zlg_short
90,RZV_1d,Thres30_90,111.59151635629532,zlg_short
90,RZV_2d,Thres20_50,58.236628828177274,zlg_short
90,RZV_2d,Thres30_90,69.8607169426324,zlg_short
95,RZV_1d,Thres20_50,69.50576767989266,zlg_short
95,RZV_1d,Thres30_90,76.38083442835041,zlg_short
95,RZV_2d,Thres20_50,40.59998083093633,zlg_short
95,RZV_2d,Thres30_90,47.46864202793585,zlg_short
60,RZV_2d,Thres20_50,104.42814671392381,zlg_long
60,RZV_2d,Thres30_90,121.78320011195034,zlg_long
65,RZV_2d,Thres20_50,106.45697891921816,zlg_long
65,RZV_2d,Thres30_90,126.46404096546581,zlg_long
70,RZV_2d,Thres20_50,105.44760519070408,zlg_long
70,RZV_2d,Thres30_90,127.27984718190571,zlg_long
75,RZV_2d,Thres20_50,100.36351379551495,zlg_long
75,RZV_2d,Thres30_90,122.95304514861381,zlg_long
80,RZV_1d,Thres20_50,147.61360477414706,zlg_long
80,RZV_1d,Thres30_90,173.93964118988953,zlg_long
80,RZV_2d,Thres20_50,90.40730404642967,zlg_long
80,RZV_2d,Thres30_90,111.07842379409844,zlg_long
85,RZV_1d,Thres20_50,125.41496147598441,zlg_long
85,RZV_1d,Thres30_90,146.36463738660572,zlg_long
85,RZV_2d,Thres20_50,75.49127167441361,zlg_long
85,RZV_2d,Thres30_90,92.7046103654339,zlg_long
90,RZV_1d,Thres20_50,99.05403478315844,zlg_long
90,RZV_1d,Thres30_90,112.80946583268869,zlg_long
90,RZV_2d,Thres20_50,58.86662128701492,zlg_long
90,RZV_2d,Thres30_90,70.57619166749761,zlg_long
95,RZV_1d,Thres20_50,69.47513039194172,zlg_long
95,RZV_1d,Thres30_90,76.08110586977627,zlg_long
95,RZV_2d,Thres20_50,40.5522842354326,zlg_long
95,RZV_2d,Thres30_90,47.486449709402905,zlg_long
60,RZV_2d,Thres20_50,118.1673135020661,zle
60,RZV_2d,Thres30_90,146.47186119317465,zle
65,RZV_2d,Thres20_50,122.03603241940175,zle
65,RZV_2d,Thres30_90,153.5813156805501,zle
70,RZV_2d,Thres20_50,121.1978656720485,zle
70,RZV_2d,Thres30_90,155.57969959497404,zle
75,RZV_2d,Thres20_50,114.60169831332595,zle
75,RZV_2d,Thres30_90,147.99437299890712,zle
80,RZV_1d,Thres20_50,171.9299182398174,zle
80,RZV_1d,Thres30_90,217.28253206397548,zle
80,RZV_2d,Thres20_50,101.25657853586861,zle
80,RZV_2d,Thres30_90,130.6342420349341,zle
85,RZV_1d,Thres20_50,142.59460486295325,zle
85,RZV_1d,Thres30_90,179.32315462519594,zle
85,RZV_2d,Thres20_50,83.16028634796336,zle
85,RZV_2d,Thres30_90,106.51341409516797,zle
90,RZV_1d,Thres20_50,109.54944086640018,zle
90,RZV_1d,Thres30_90,136.5649093210781,zle
90,RZV_2d,Thres20_50,63.02323744001774,zle
90,RZV_2d,Thres30_90,79.9049028504055,zle
95,RZV_1d,Thres20_50,74.7043494831014,zle
95,RZV_1d,Thres30_90,91.83628421479655,zle
95,RZV_2d,Thres20_50,42.50370784566097,zle
95,RZV_2d,Thres30_90,53.06313202015049,zle
