Age,Class,Full1d,Full2d,Sole2d,Mar2d
60,Unvaccinated,189.30436494797345,218.1949100095161,109.09745500475805,28.89054506154264
65,Unvaccinated,197.23105302898009,226.67120954691836,113.33560477345918,29.440156517938277
70,Unvaccinated,198.23524880493198,227.07506351629274,113.53753175814637,28.83981471136076
75,Unvaccinated,188.33509278794608,215.906988025753,107.9534940128765,27.571895237806928
80,Unvaccinated,167.71948443155293,191.58559799821705,95.79279899910853,23.866113566664126
80,ZVL@70,123.30905460000884,148.95388337301998,74.47694168650999,25.64482877301114
85,Unvaccinated,137.98233439343443,157.51567402792463,78.75783701396232,19.533339634490204
85,ZVL@70,107.00838860005308,127.28729084229998,63.64364542114999,20.2789022422469
90,Unvaccinated,104.97758258905539,119.69895606724425,59.84947803362213,14.721373478188866
90,ZVL@70,80.13918865821071,94.69450972292432,47.34725486146216,14.55532106471361
95,Unvaccinated,70.91586387550008,80.98644008671953,40.49322004335976,10.070576211219446
95,ZVL@70,50.28253945822726,59.118956820884605,29.559478410442303,8.836417362657343
