Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-41593.16543069409,-7759504.274192736,3906.149479522758,138.9739579180024,0.5027537757131506,0.5027537757131506,0.5507630708228666,0.5149393125870608,0.47876372173569576
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-27887.70774438378,-6609778.773762155,2963.0575804944424,137.90446363706002,0.8952499307282626,0.8952499307282626,0.9200429608351024,0.9055528417554594,0.8865890381158708
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-6038.288573642677,-1838094.2488495947,716.4431011604737,136.61158487510127,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_1d,1508497,1075401.782433929,145979.17591539328,145979.17591539328,-8922.358486446697,-2703583.2525097644,900.438260602094,137.17144825091165,1.2375226463728188,1.1187613231864095,1.1181469481366146,1.1187028456981072,1.1668118908444745
UV_85,"[80,85)",RZV_1d,1508497,433095.21756607096,58790.01131103047,58790.01131103047,-3675.419288529868,-1483155.638086361,488.74034703023017,139.39861858909757,1.3331798452802655,1.1665899226401328,1.1668156462977424,1.1831324379737354,1.2583230348701513
ZVL_90,"[85,90)",ReRZV_1d,940569,344417.71727378963,46752.586205033294,46752.586205033294,-2687.5287441703267,-804668.7399057304,233.082514690089,138.6888699248751,1.4092509556325326,1.2046254778162662,1.2024030215007764,1.2138592062450921,1.3079713354662252
UV_95,"[85,90)",RZV_1d,940569,596151.2827262104,80923.8690085801,80923.8690085801,-3718.194968937203,-1877077.1014901677,535.2958086616087,139.55959868485104,1.5409221436709246,1.2704610718354623,1.2516381412086588,1.284426105230387,1.4237875509534934
UV_95,"[90,95)",RZV_1d,417138,417138,56623.91719788369,56623.91719788369,-1840.8130072891063,-1099541.9580639359,279.64939096011136,138.8119509933372,1.6330548918968206,1.3165274459484104,1.2760135840057354,1.3212916849787544,1.4916296168181986
UV_100,"[95,100)",RZV_1d,109064,109064,14804.767020194724,14804.767020194724,-304.2385805620596,-185682.4990988362,44.879777930822705,138.21686982814478,1.6571437211392035,1.328571860569602,1.2800422116217882,1.3272080898982048,1.5030862822427422
