Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-33540.79224344872,-6222206.994893765,3176.6116887065577,113.0308054295381,0.502160096755813,0.502160096755813,0.5457753034638078,0.5107709318757492,0.47409072763164173
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-22885.103071134996,-5380534.093988023,2446.146744595081,112.77679688733738,0.8951006331645196,0.8951006331645196,0.9181613813713392,0.9040895917181155,0.8840515864971527
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5029.417944516374,-1521765.745447791,596.4907260833841,111.89220484997551,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_1d,1508497,1076164.3642254202,146317.3595442511,146317.3595442511,-6843.485990188905,-2077201.2834279875,685.9099900358334,111.47310633150504,1.2381184304386554,1.1190592152193277,1.1113571085601055,1.1102882313375042,1.1582689018070136
UV_85,"[80,85)",RZV_1d,1508497,432332.6357745799,58780.769754324065,58780.769754324065,-3007.465426016951,-1214606.9294384273,399.30747673787664,113.3198286238632,1.33377888164877,1.1668894408243848,1.1602945440156414,1.174493325313408,1.2508138594782152
ZVL_90,"[85,90)",ReRZV_1d,940569,344866.12479836657,46888.65609583177,46888.65609583177,-2045.5922715629847,-611668.9810954224,177.17728395707385,112.53775415200629,1.4100859803395487,1.2050429901697743,1.1935803929208226,1.2029818581598062,1.2974189615834988
UV_95,"[85,90)",RZV_1d,940569,595702.8752016334,80992.89910529328,80992.89910529328,-3024.684755134635,-1525033.9312875562,435.71497644581547,113.25774641779944,1.541894687602313,1.2709473438011565,1.2427980210595377,1.2730409545683026,1.4136163890783398
UV_95,"[90,95)",RZV_1d,417138,417138,56714.87809345928,56714.87809345928,-1486.353939211442,-887060.0464227494,226.39420995180262,112.63472053434984,1.6341930847043322,1.3170965423521661,1.2669839516225285,1.30944313176845,1.4812044560144992
UV_100,"[95,100)",RZV_1d,109064,109064,14828.549459375658,14828.549459375658,-244.41169705090203,-148900.30120223615,35.935913977947735,112.14337920259474,1.658325224143881,1.3291626120719404,1.2709610153471969,1.315221307406215,1.4925496671589484
