Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-39756.4155235023,-7372383.723531081,3741.7962364671394,133.21117931683665,0.502160096755813,0.502160096755813,0.5476648072998446,0.5115079689572009,0.47547730977953645
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-26957.36724109982,-6350282.858431373,2873.5677018218944,132.75082192249332,0.8951006331645196,0.8951006331645196,0.9190162267124036,0.9043280708363206,0.8850348590195092
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5878.8231388402055,-1782560.6326640828,699.8617542753475,131.6654486258961,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_1d,1508497,1076164.3642254202,256736.72542993142,256736.72542993142,-17538.435251408962,-5213579.819661365,1765.8711142181492,136.19376772991714,1.4178160833803624,1.208908041690181,1.2416008494685724,1.2413966688701188,1.336246592680902
UV_85,"[80,85)",RZV_1d,1508497,432332.6357745799,76633.20777845594,76633.20777845594,-5104.360896374645,-1999570.6042454375,670.4793714699549,139.37634576905202,1.542529782510277,1.2712648912551385,1.3119160121886448,1.3330519915693855,1.4652076570088843
ZVL_90,"[85,90)",ReRZV_1d,940569,344866.12479836657,46888.65609583177,46888.65609583177,-2858.478112157879,-852244.048797427,246.26230433655084,138.90550485682925,1.618836881201056,1.3094184406005278,1.3512929993705078,1.3667163396956319,1.5201726076671682
UV_95,"[85,90)",RZV_1d,940569,595702.8752016334,80992.89910529328,80992.89910529328,-3810.865050121469,-1920240.5948099338,546.9709642338144,139.8576422517916,1.7506455884638203,1.37532279423191,1.4037896001288608,1.4414879171180193,1.6440173323029037
UV_95,"[90,95)",RZV_1d,417138,417138,56714.87809345928,56714.87809345928,-1877.1292561725163,-1119934.7981169263,284.01411354886415,139.2097608747267,1.8429439855658392,1.4214719927829196,1.4296480086101508,1.4803129821925738,1.7162468315946302
UV_100,"[95,100)",RZV_1d,109064,109064,14828.549459375658,14828.549459375658,-307.7863243875056,-187939.36368363557,45.22964049936636,138.65817773298505,1.8670761250053884,1.433538062502694,1.4338879214849813,1.4864959275178753,1.7283678641394706
