Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-41593.16543069409,-7759504.274192736,3906.149479522758,138.9739579180024,0.5027537757131506,0.5027537757131506,0.5507630708228666,0.5149393125870608,0.47876372173569576
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-27887.70774438378,-6609778.773762155,2963.0575804944424,137.90446363706002,0.8952499307282626,0.8952499307282626,0.9200429608351024,0.9055528417554594,0.8865890381158708
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-6038.288573642677,-1838094.2488495947,716.4431011604737,136.61158487510127,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_2d,1508497,1075401.782433929,145979.17591539328,291958.35183078656,-10276.124892442293,-3116263.1617267914,1031.8791849943677,126.00700414608806,1.2375226463728188,1.2375226463728188,1.1360730793945337,1.136030421001404,1.1922743639923286
UV_85,"[80,85)",RZV_2d,1508497,433095.21756607096,58790.01131103047,117580.02262206093,-4043.53822238237,-1634003.683359079,535.0667894756548,124.49328142674173,1.3331798452802655,1.3331798452802655,1.1896162878829528,1.2065671288783444,1.2930928772801784
ZVL_90,"[85,90)",ReRZV_2d,940569,344417.71727378963,46752.586205033294,93505.17241006659,-3028.6999796677446,-907188.1290187525,262.08343878953684,121.32284461631914,1.4092509556325326,1.4092509556325326,1.229721340819654,1.2411170268067837,1.3490666546783032
UV_95,"[85,90)",RZV_2d,940569,596151.2827262104,80923.8690085801,161847.7380171602,-4039.098334630098,-2040446.8111454705,580.207632492105,118.15969810546476,1.5409221436709246,1.5409221436709246,1.2832057577689526,1.3176045552537887,1.4749628298446438
UV_95,"[90,95)",RZV_2d,417138,417138,56623.91719788369,113247.83439576738,-1976.147637551573,-1179323.5823254886,299.5680038124359,115.06569937429781,1.6330548918968206,1.6330548918968206,1.3093732574046997,1.3570959630365498,1.5477274456568522
UV_100,"[95,100)",RZV_2d,109064,109064,14804.767020194724,29609.534040389448,-322.3727889853708,-196510.49487405038,47.42988398184387,113.95523714789948,1.6571437211392035,1.6571437211392035,1.3136420122679755,1.3633485429702494,1.5598522016414493
