Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-25939.61252907734,-4755908.886848582,2519.24746720793,89.35080762190508,0.502160096755813,0.502160096755813,0.5349465703085412,0.500793542186513,0.4622365069983422
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-18364.53129694426,-4278526.449198858,2004.6625388331527,90.46352867635984,0.8951006331645196,0.8951006331645196,0.9136740097262199,0.8992943114751706,0.8780752389905739
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-4185.955875180614,-1254472.6468645178,506.60108283728573,90.23921289254726,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_2d,1508497,1076164.3642254202,256736.72542993142,513473.45085986285,-11601.810996274935,-3415129.198176458,1184.1521845965983,79.19866469406678,1.4178160833803624,1.4178160833803624,1.2392614382681357,1.2353940113986757,1.3319233881621237
UV_85,"[80,85)",RZV_2d,1508497,432332.6357745799,76633.20777845594,153266.41555691187,-3933.2553124839246,-1538126.6098077158,524.6505672277382,79.14203216027188,1.542529782510277,1.542529782510277,1.3203760438622836,1.339687702031354,1.4814170576907335
ZVL_90,"[85,90)",ReRZV_2d,940569,344866.12479836657,46888.65609583177,93777.31219166354,-2006.013638145272,-601980.0240526354,175.74646004649705,77.48087166067756,1.618836881201056,1.618836881201056,1.3617455945645178,1.3746238063240257,1.5399247268284513
UV_95,"[85,90)",RZV_2d,940569,595702.8752016334,80992.89910529328,161985.79821058657,-3042.1043294647875,-1540008.6605936405,441.9449937352146,76.47136959120203,1.7506455884638203,1.7506455884638203,1.4244822015876077,1.4624767075356506,1.6896013167203348
UV_95,"[90,95)",RZV_2d,417138,417138,56714.87809345928,113429.75618691856,-1540.3017480989745,-924143.4264286332,235.65441196310346,75.1305044274378,1.8429439855658392,1.8429439855658392,1.4562474847606757,1.5093217313909992,1.7794207055187838
UV_100,"[95,100)",RZV_2d,109064,109064,14828.549459375658,29657.098918751315,-261.64909529334875,-160894.43625360954,38.77440364676641,74.5675277190922,1.8670761250053884,1.8670761250053884,1.461643412937884,1.5170295771668472,1.7950583646873588
