Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-34960.520427313044,-6529196.1903377585,3296.7570111766863,117.42194790004042,0.502160096755813,0.502160096755813,0.5496160194438529,0.51449079570793,0.47824346520466765
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-23537.70426563399,-5569261.011605695,2504.417902676592,116.47128166523278,0.8951006331645196,0.8951006331645196,0.9196533978124398,0.9053294153468612,0.886174641903124
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5110.766294413567,-1553995.2942836382,606.6307042052703,115.39038495425275,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_2d,1508497,1076164.3642254202,146317.3595442511,292634.7190885022,-8089.145531883165,-2460602.089613298,811.6509016259178,105.48383745799913,1.2381184304386554,1.2381184304386554,1.1271698451165577,1.1266659680403717,1.1802315071444707
UV_85,"[80,85)",RZV_2d,1508497,432332.6357745799,58780.769754324065,117561.53950864813,-3430.607998324154,-1384846.2257213893,454.2182007053251,104.30539675594224,1.33377888164877,1.33377888164877,1.1811025980980636,1.197551108411241,1.2816672181351587
ZVL_90,"[85,90)",ReRZV_2d,940569,344866.12479836657,46888.65609583177,93777.31219166354,-2418.054031068451,-720914.5938645699,208.27752535254498,101.48067573461192,1.4100859803395487,1.4100859803395487,1.2191169415664098,1.2300548293052667,1.3344719866603594
UV_95,"[85,90)",RZV_2d,940569,595702.8752016334,80992.89910529328,161985.79821058657,-3441.144104200036,-1737605.7270065984,492.49389436391493,98.92068279656316,1.541894687602313,1.541894687602313,1.2732153331740335,1.3069132616172523,1.4617462421457232
UV_95,"[90,95)",RZV_2d,417138,417138,56714.87809345928,113429.75618691856,-1689.266829760812,-1005483.8530916907,254.78764804356194,96.37165013269858,1.6341930847043322,1.6341930847043322,1.2997723780750674,1.3466753366910524,1.5353948304392595
UV_100,"[95,100)",RZV_2d,109064,109064,14828.549459375658,29657.098918751315,-275.50396614288564,-167633.7132890758,40.389101170818755,95.44785479174234,1.658325224143881,1.658325224143881,1.3041035891486346,1.3529784463011496,1.5476734824496146
