Age0,Age,Arm,Reg2d,Reg1d
NA,60,RZV,108.6568863424487,192.89734937610297
NA,65,RZV,113.10063265207305,200.76575391086945
NA,70,RZV,113.38470387776728,201.88375360209807
NA,75,RZV,107.80752195622505,191.84932966330047
NA,80,RZV,95.81358608684786,170.2235388146346
70,80,ReRZV,75.25964078385468,105.5889411803248
NA,85,RZV,78.75911950082194,137.98922464330263
70,85,ReRZV,64.15274157765987,94.99641251942806
NA,90,RZV,60.00900591402639,103.38753854288612
70,90,ReRZV,47.806573269934105,71.92492665764168
NA,95,RZV,40.46891408721437,68.80501673784875
70,95,ReRZV,29.600979421748217,45.269301977696315
