Age,Class,Full1d,Full2d,Sole2d,Mar2d
60,Unvaccinated,248.87451710695143,257.0574048421237,128.52870242106184,8.182887735172244
65,Unvaccinated,258.32441232111825,266.3504649127743,133.17523245638716,8.026052591656082
70,Unvaccinated,258.4246951388333,266.3720689368219,133.18603446841095,7.947373797988632
75,Unvaccinated,245.3816573051273,253.01690747421003,126.50845373710501,7.635250169082724
80,Unvaccinated,217.82908514677996,223.94936647037116,111.97468323518558,6.1202813235912
80,ZVL@70,178.9076952892816,186.50534952584078,93.25267476292039,7.59765423655918
85,Unvaccinated,178.39367931456226,184.02208284813014,92.01104142406507,5.628403533567877
85,ZVL@70,150.76427582225898,156.5853845622133,78.29269228110665,5.821108739954326
90,Unvaccinated,135.82672397876456,139.79200231610866,69.89600115805433,3.9652783373441025
90,ZVL@70,111.43376350131147,115.54575192711157,57.772875963555784,4.111988425800092
95,Unvaccinated,91.84776598577292,94.46666494226243,47.23333247113121,2.6188989564895024
95,ZVL@70,69.26672714761568,71.87237528493358,35.93618764246679,2.6056481373178997
