Price,Arm,PrCE20,PrCE30
0,Vac1,1,1
5,Vac1,1,1
10,Vac1,1,1
15,Vac1,1,1
20,Vac1,1,1
25,Vac1,1,1
30,Vac1,1,1
35,Vac1,1,1
40,Vac1,1,1
45,Vac1,1,1
50,Vac1,1,1
55,Vac1,1,1
60,Vac1,1,1
65,Vac1,1,1
70,Vac1,1,1
75,Vac1,1,1
80,Vac1,1,1
85,Vac1,1,1
90,Vac1,1,1
95,Vac1,1,1
100,Vac1,1,1
105,Vac1,1,1
110,Vac1,1,1
115,Vac1,1,1
120,Vac1,1,1
125,Vac1,1,1
130,Vac1,1,1
135,Vac1,1,1
140,Vac1,0.999,1
145,Vac1,0.996,1
150,Vac1,0.991,1
155,Vac1,0.9835,1
160,Vac1,0.973,1
165,Vac1,0.9525,1
170,Vac1,0.928,1
175,Vac1,0.8995,1
180,Vac1,0.8555,1
185,Vac1,0.804,1
190,Vac1,0.751,1
195,Vac1,0.6845,1
200,Vac1,0.6275,1
205,Vac1,0.569,0.999
210,Vac1,0.5065,0.9965
215,Vac1,0.4565,0.9945
220,Vac1,0.4105,0.989
225,Vac1,0.359,0.984
230,Vac1,0.309,0.9765
235,Vac1,0.2645,0.97
240,Vac1,0.2295,0.954
245,Vac1,0.1905,0.936
250,Vac1,0.157,0.9165
255,Vac1,0.1285,0.8975
260,Vac1,0.1015,0.866
265,Vac1,0.081,0.8325
270,Vac1,0.0655,0.796
275,Vac1,0.0555,0.7585
280,Vac1,0.0435,0.717
285,Vac1,0.03,0.6735
290,Vac1,0.0205,0.6345
295,Vac1,0.0145,0.5925
300,Vac1,0.0095,0.553
0,Vac2,1,1
5,Vac2,1,1
10,Vac2,1,1
15,Vac2,1,1
20,Vac2,1,1
25,Vac2,1,1
30,Vac2,1,1
35,Vac2,1,1
40,Vac2,1,1
45,Vac2,1,1
50,Vac2,1,1
55,Vac2,1,1
60,Vac2,1,1
65,Vac2,1,1
70,Vac2,1,1
75,Vac2,1,1
80,Vac2,1,1
85,Vac2,0.9985,1
90,Vac2,0.993,1
95,Vac2,0.977,1
100,Vac2,0.9385,1
105,Vac2,0.878,1
110,Vac2,0.786,1
115,Vac2,0.674,1
120,Vac2,0.559,1
125,Vac2,0.452,0.9985
130,Vac2,0.3485,0.9935
135,Vac2,0.2495,0.9855
140,Vac2,0.173,0.971
145,Vac2,0.104,0.9415
150,Vac2,0.0605,0.901
155,Vac2,0.034,0.852
160,Vac2,0.0165,0.787
165,Vac2,0.006,0.704
170,Vac2,0.0015,0.625
175,Vac2,5e-4,0.548
180,Vac2,5e-4,0.477
185,Vac2,5e-4,0.4005
190,Vac2,0,0.327
195,Vac2,0,0.2645
200,Vac2,0,0.2075
205,Vac2,0,0.152
210,Vac2,0,0.1055
215,Vac2,0,0.077
220,Vac2,0,0.0495
225,Vac2,0,0.0345
230,Vac2,0,0.0215
235,Vac2,0,0.0115
240,Vac2,0,0.0055
245,Vac2,0,0.0025
250,Vac2,0,0.001
255,Vac2,0,5e-4
260,Vac2,0,5e-4
265,Vac2,0,5e-4
270,Vac2,0,5e-4
275,Vac2,0,0
280,Vac2,0,0
285,Vac2,0,0
290,Vac2,0,0
295,Vac2,0,0
300,Vac2,0,0
