Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,70,80,N0,1,1,1,1
Overall,ReRZV_1d,70,80,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,70,80,Year_Life,16.743663633031957,16.743666555425428,16.743577330058297,16.743730790352647
Overall,ReRZV_1d,70,80,Year_Immunised,9.70659143819963,9.733508702664889,8.706202846155044,10.508143462711866
Overall,ReRZV_1d,70,80,Risk_HZ,0.062000361248901674,0.0616992884140319,0.05438138667906953,0.07112104230267206
Overall,ReRZV_1d,70,80,Risk_Hosp,0.00229486662286313,0.0022612102266874826,0.0017141455144132373,0.0030298650562235493
Overall,ReRZV_1d,70,80,Risk_PHN,0.00491600162201151,0.004897240248617572,0.004172603178980551,0.005789399833140968
Overall,ReRZV_1d,70,80,Risk_Death,4.353478175688295e-5,4.2981943741598935e-5,3.088957518302949e-5,5.993897100471163e-5
Overall,ReRZV_1d,70,80,Q_Life,12.681025070029188,12.68102704293315,12.680966107814005,12.68107079573366
Overall,ReRZV_1d,70,80,Q_HZ,-0.008633612368022445,-0.008593875608714666,-0.010485659314262165,-0.007162399510493013
Overall,ReRZV_1d,70,80,Q_HZ_Norm,-0.002871174003070631,-0.002849955163046671,-0.003439262463179162,-0.0024216410134497964
Overall,ReRZV_1d,70,80,Q_All,12.65271818428608,12.652757751473874,12.650833735742719,12.654212452364208
Overall,ReRZV_1d,70,80,Q_HZ_d,-0.007611948662252763,-0.007584109818104843,-0.009092546226237624,-0.00639259587296648
Overall,ReRZV_1d,70,80,Q_HZ_Norm_d,-0.002553258798019499,-0.002534976551950535,-0.003024091957411066,-0.0021727712258314148
Overall,ReRZV_1d,70,80,Q_Life_d,11.071551656050575,11.071553013284433,11.071508394432932,11.071585326222229
Overall,ReRZV_1d,70,80,Q_All_d,11.063939707388322,11.063970023724421,11.062408105366638,11.06518390805371
Overall,ReRZV_1d,70,80,C_Hosp,9.632983580468144,9.478681136847333,7.059642025101572,12.937545758666865
Overall,ReRZV_1d,70,80,C_GP_NonPHN,7.005982021853811,6.975664286945918,6.160328455272903,8.015413867932756
Overall,ReRZV_1d,70,80,C_GP_PHN,2.7084193640098957,2.6960089418028623,2.2705947319684054,3.1911897711415596
Overall,ReRZV_1d,70,80,C_GP,9.714401385863706,9.672304153679052,8.522507435279229,11.124146842845663
Overall,ReRZV_1d,70,80,C_Med,19.347384966331852,19.111259697532304,15.785287486387563,23.849616620916116
Overall,ReRZV_1d,70,80,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,70,80,C_VacRZV,68.66182112291749,68.66182270066724,68.66167936882835,68.66194765484585
Overall,ReRZV_1d,70,80,C_Vac,178.66182112291747,178.66182270066724,178.66167936882837,178.66194765484585
Overall,ReRZV_1d,70,80,C_All,198.00920608924935,197.77310335475175,194.44706008809445,202.51131237418548
