Age0,Arm,Pars,Direction,Thres20,Thres30,Thres20_0,Thres30_0
60,RZV_2d,VE,Q025,125.60442498828316,183.2319971974877,166.1184184802056,242.00545613713544
60,RZV_2d,VE,Q975,201.47857176954983,293.23097121168746,166.1184184802056,242.00545613713544
60,RZV_2d,Inc,Q025,153.0457392156137,222.97039529914466,166.1184184802056,242.00545613713544
60,RZV_2d,Inc,Q975,180.68292486899682,263.2137335726415,166.1184184802056,242.00545613713544
60,RZV_2d,Hosp,Q025,163.91314156250868,239.80017921943852,166.1184184802056,242.00545613713544
60,RZV_2d,Hosp,Q975,169.71703722148146,245.6040748784113,166.1184184802056,242.00545613713544
60,RZV_2d,PHN,Q025,165.7570478203587,241.64408547728854,166.1184184802056,242.00545613713544
60,RZV_2d,PHN,Q975,166.57151192710148,242.45854958403135,166.1184184802056,242.00545613713544
60,RZV_2d,Mor,Q025,165.72713207396995,241.41845041390656,166.1184184802056,242.00545613713544
60,RZV_2d,Mor,Q975,166.57322333271685,242.68775167898178,166.1184184802056,242.00545613713544
60,RZV_2d,Q_HZ,Q025,152.23554472309388,221.18114550146785,166.1184184802056,242.00545613713544
60,RZV_2d,Q_HZ,Q975,182.5832162012442,266.70265271869334,166.1184184802056,242.00545613713544
60,RZV_2d,C_GP_NonPHN,Q025,166.03474479177035,241.92178244870018,166.1184184802056,242.00545613713544
60,RZV_2d,C_GP_NonPHN,Q975,166.20151436879502,242.08855202572485,166.1184184802056,242.00545613713544
60,RZV_2d,C_GP_PHN,Q025,165.99103074922598,241.87806840615582,166.1184184802056,242.00545613713544
60,RZV_2d,C_GP_PHN,Q975,166.23816000789583,242.12519766482566,166.1184184802056,242.00545613713544
60,RZV_2d,C_Hosp,Q025,165.81817408887406,241.7052117458039,166.1184184802056,242.00545613713544
60,RZV_2d,C_Hosp,Q975,166.39500219845007,242.2820398553799,166.1184184802056,242.00545613713544
65,RZV_2d,VE,Q025,130.66929558879818,190.2776844642055,165.74340535173766,241.0596380798242
65,RZV_2d,VE,Q975,194.83329775183822,283.12114714063335,165.74340535173766,241.0596380798242
65,RZV_2d,Inc,Q025,152.64941442479218,222.02631090202783,165.74340535173766,241.0596380798242
65,RZV_2d,Inc,Q975,180.20843481115622,262.0854630541344,165.74340535173766,241.0596380798242
65,RZV_2d,Hosp,Q025,163.15209647780603,238.46832920589256,165.74340535173766,241.0596380798242
65,RZV_2d,Hosp,Q975,169.96433313697733,245.28056586506386,165.74340535173766,241.0596380798242
65,RZV_2d,PHN,Q025,165.35971489740604,240.67594762549257,165.74340535173766,241.0596380798242
65,RZV_2d,PHN,Q975,166.22210793719012,241.53834066527665,165.74340535173766,241.0596380798242
