Price,Arm,PrCE20,PrCE30
0,Vac1,1,1
5,Vac1,1,1
10,Vac1,1,1
15,Vac1,1,1
20,Vac1,1,1
25,Vac1,1,1
30,Vac1,1,1
35,Vac1,1,1
40,Vac1,1,1
45,Vac1,1,1
50,Vac1,1,1
55,Vac1,1,1
60,Vac1,1,1
65,Vac1,1,1
70,Vac1,1,1
75,Vac1,1,1
80,Vac1,1,1
85,Vac1,1,1
90,Vac1,1,1
95,Vac1,1,1
100,Vac1,1,1
105,Vac1,1,1
110,Vac1,1,1
115,Vac1,1,1
120,Vac1,1,1
125,Vac1,1,1
130,Vac1,1,1
135,Vac1,1,1
140,Vac1,1,1
145,Vac1,1,1
150,Vac1,1,1
155,Vac1,1,1
160,Vac1,1,1
165,Vac1,1,1
170,Vac1,1,1
175,Vac1,1,1
180,Vac1,1,1
185,Vac1,1,1
190,Vac1,1,1
195,Vac1,1,1
200,Vac1,1,1
205,Vac1,1,1
210,Vac1,1,1
215,Vac1,1,1
220,Vac1,0.9985,1
225,Vac1,0.9975,1
230,Vac1,0.995,1
235,Vac1,0.993,1
240,Vac1,0.99,1
245,Vac1,0.9875,1
250,Vac1,0.978,1
255,Vac1,0.965,1
260,Vac1,0.9525,1
265,Vac1,0.931,1
270,Vac1,0.908,1
275,Vac1,0.88,1
280,Vac1,0.8375,1
285,Vac1,0.7935,1
290,Vac1,0.7405,1
295,Vac1,0.679,1
300,Vac1,0.6185,1
305,Vac1,0.554,1
310,Vac1,0.493,1
315,Vac1,0.4265,0.9995
320,Vac1,0.363,0.9985
325,Vac1,0.292,0.998
330,Vac1,0.238,0.9955
335,Vac1,0.1785,0.995
340,Vac1,0.1405,0.993
345,Vac1,0.1065,0.9905
350,Vac1,0.076,0.989
355,Vac1,0.053,0.9875
360,Vac1,0.038,0.9815
365,Vac1,0.024,0.9725
370,Vac1,0.014,0.964
375,Vac1,0.008,0.9565
380,Vac1,0.004,0.9435
385,Vac1,0.0025,0.9275
390,Vac1,0.001,0.913
395,Vac1,5e-4,0.8955
400,Vac1,5e-4,0.872
0,Vac2,1,1
5,Vac2,1,1
10,Vac2,1,1
15,Vac2,1,1
20,Vac2,1,1
25,Vac2,1,1
30,Vac2,1,1
35,Vac2,1,1
40,Vac2,1,1
45,Vac2,1,1
50,Vac2,1,1
55,Vac2,1,1
60,Vac2,1,1
65,Vac2,1,1
70,Vac2,1,1
75,Vac2,1,1
80,Vac2,1,1
85,Vac2,1,1
90,Vac2,1,1
95,Vac2,1,1
100,Vac2,1,1
105,Vac2,1,1
110,Vac2,1,1
115,Vac2,1,1
120,Vac2,0.9935,1
125,Vac2,0.987,1
130,Vac2,0.975,1
135,Vac2,0.952,1
140,Vac2,0.905,1
145,Vac2,0.8385,1
150,Vac2,0.733,1
155,Vac2,0.616,1
160,Vac2,0.489,1
165,Vac2,0.3535,1
170,Vac2,0.239,0.9975
175,Vac2,0.143,0.9915
180,Vac2,0.0765,0.989
185,Vac2,0.038,0.9825
190,Vac2,0.0155,0.971
195,Vac2,0.006,0.956
200,Vac2,0.0015,0.928
205,Vac2,5e-4,0.889
210,Vac2,5e-4,0.84
215,Vac2,0,0.771
220,Vac2,0,0.694
225,Vac2,0,0.6115
230,Vac2,0,0.528
235,Vac2,0,0.436
240,Vac2,0,0.3445
245,Vac2,0,0.266
250,Vac2,0,0.1965
255,Vac2,0,0.134
260,Vac2,0,0.089
265,Vac2,0,0.0515
270,Vac2,0,0.034
275,Vac2,0,0.0185
280,Vac2,0,0.008
285,Vac2,0,0.0055
290,Vac2,0,0.0025
295,Vac2,0,0.001
300,Vac2,0,5e-4
305,Vac2,0,5e-4
310,Vac2,0,0
315,Vac2,0,0
320,Vac2,0,0
325,Vac2,0,0
330,Vac2,0,0
335,Vac2,0,0
340,Vac2,0,0
345,Vac2,0,0
350,Vac2,0,0
355,Vac2,0,0
360,Vac2,0,0
365,Vac2,0,0
370,Vac2,0,0
375,Vac2,0,0
380,Vac2,0,0
385,Vac2,0,0
390,Vac2,0,0
395,Vac2,0,0
400,Vac2,0,0
