Age,Class,Full1d,Full2d,Sole2d,Mar2d
60,Unvaccinated,322.4631056496377,332.37977730603086,166.18988865301543,9.916671656393135
65,Unvaccinated,321.2989253674625,331.2452618998677,165.62263094993386,9.946336532405212
70,Unvaccinated,309.4114712016137,319.16257053575026,159.58128526787513,9.75109933413654
75,Unvaccinated,283.34528888187504,292.25186785214646,146.12593392607323,8.906578970271426
80,Unvaccinated,244.01525143253778,250.811963486345,125.4059817431725,6.7967120538072265
80,ZVL@70,201.187395022767,209.4024460737983,104.70122303689915,8.21505105103131
85,Unvaccinated,194.8097168864124,200.44732879128713,100.22366439564357,5.6376119048747455
85,ZVL@70,164.813342367525,171.23806776113977,85.61903388056989,6.424725393614779
90,Unvaccinated,144.48677667372442,148.91877625731723,74.45938812865862,4.4319995835928125
90,ZVL@70,118.63068949647077,123.06394372048554,61.53197186024277,4.4332542240147745
95,Unvaccinated,95.59483524389682,98.21114342641135,49.10557171320568,2.61630818251453
95,ZVL@70,72.06865492217591,74.59884671700789,37.299423358503944,2.5301917948319783
