Age,Class,Full1d,Full2d,Sole2d,Mar2d
60,Unvaccinated,247.90610689395587,280.46795070612166,140.23397535306083,32.56184381216579
65,Unvaccinated,248.29443556032527,280.77744815119627,140.38872407559813,32.483012590871
70,Unvaccinated,240.02542713790933,270.6566480020825,135.32832400104124,30.631220864173144
75,Unvaccinated,220.8164191095792,248.32706000195714,124.16353000097857,27.51064089237795
80,Unvaccinated,190.87878871123456,214.56431909033785,107.28215954516892,23.685530379103284
80,ZVL@70,118.39106147241998,169.0293601065128,84.5146800532564,50.63829863409282
85,Unvaccinated,150.80895513204672,171.50824253828077,85.75412126914038,20.69928740623405
85,ZVL@70,102.5311062690957,139.96972008285985,69.98486004142993,37.43861381376415
90,Unvaccinated,109.90363642263793,127.57132259470515,63.785661297352576,17.66768617206722
90,ZVL@70,76.03285175452974,101.08702986827439,50.54351493413719,25.05417811374464
95,Unvaccinated,71.70391615549173,84.35427788454979,42.177138942274894,12.650361729058062
95,ZVL@70,46.77336303368537,61.80935640665244,30.90467820332622,15.03599337296707
