Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,70,80,N0,1,1,1,1
Overall,ReRZV_1d,70,80,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,70,80,Year_Life,16.743542815677863,16.743547224228468,16.743404630444005,16.743652106386445
Overall,ReRZV_1d,70,80,Year_Immunised,8.199566976067658,8.232127272672233,6.63695005296297,9.494996151603164
Overall,ReRZV_1d,70,80,Risk_HZ,0.07622958968798507,0.07573397867097093,0.06389795065347893,0.09106162261210368
Overall,ReRZV_1d,70,80,Risk_Hosp,0.003225735914694736,0.0031841585251896286,0.0023418243788915693,0.004358632762902571
Overall,ReRZV_1d,70,80,Risk_PHN,0.006200435010925471,0.006162448566932484,0.0050134631079700965,0.00759794693239063
Overall,ReRZV_1d,70,80,Risk_Death,6.52764154125904e-5,6.465197404403122e-5,4.567572485642973e-5,8.931141030412192e-5
Overall,ReRZV_1d,70,80,Q_Life,12.680943157972315,12.680946157637774,12.68084892660563,12.681017375133845
Overall,ReRZV_1d,70,80,Q_HZ,-0.010767626286397661,-0.010684745478347057,-0.013492013328268536,-0.008567394518648618
Overall,ReRZV_1d,70,80,Q_HZ_Norm,-0.003506540866636503,-0.0034740618426297625,-0.004339601787416269,-0.002848181493228479
Overall,ReRZV_1d,70,80,Q_All,12.650503874837874,12.650589196533552,12.647673651989084,12.652766531516432
Overall,ReRZV_1d,70,80,Q_HZ_d,-0.009309112653911527,-0.009248487436885302,-0.011533966606265223,-0.007509009866951147
Overall,ReRZV_1d,70,80,Q_HZ_Norm_d,-0.003060383770691975,-0.0030296268192820473,-0.003743392181368119,-0.0025191319250472597
Overall,ReRZV_1d,70,80,Q_Life_d,11.071491800475956,11.071493828690112,11.071422994824841,11.071546427433738
Overall,ReRZV_1d,70,80,Q_All_d,11.062182687822045,11.062249286110305,11.059898761346732,11.064027872989366
Overall,ReRZV_1d,70,80,C_Hosp,13.74990145867858,13.547286387412369,9.787145644460988,18.671563093391615
Overall,ReRZV_1d,70,80,C_GP_NonPHN,8.546328242312596,8.484044330257671,7.19917428551088,10.16737217477846
Overall,ReRZV_1d,70,80,C_GP_PHN,3.3967909223832695,3.376271799117336,2.722909509253345,4.155800333075006
Overall,ReRZV_1d,70,80,C_GP,11.943119164695865,11.86231488759755,10.017841605284312,14.258716308292314
Overall,ReRZV_1d,70,80,C_Med,25.693020623374448,25.44360143136749,19.96693529993397,32.631231777830955
Overall,ReRZV_1d,70,80,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,70,80,C_VacRZV,68.66182112291749,68.66182270066724,68.66167936882835,68.66194765484585
Overall,ReRZV_1d,70,80,C_Vac,178.66182112291747,178.66182270066724,178.66167936882837,178.66194765484585
Overall,ReRZV_1d,70,80,C_All,204.35484174629192,204.10545418739136,198.62869680054706,211.2930811691435
