Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,5.702141062070094e-4,5.699458913586142e-4,4.7383949570738436e-4,6.676679820350806e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,9.848486452587897,9.884971067050074,8.87834745344731,10.600693900226293
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.08854915265257662,-0.08887353722213773,-0.09586803279190437,-0.07920328511888322
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.0043362462803922695,-0.00431263811363443,-0.005198129464003868,-0.0035565391501270094
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.007345402830333872,-0.007360615365269497,-0.008233860624219685,-0.006392453621115169
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-9.36240162838124e-5,-9.339250912188793e-5,-1.1256058887719521e-4,-7.525959073404789e-5
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,3.9038963508086154e-4,3.9014150977934037e-4,3.2426224727153394e-4,4.567001771985879e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.012776267881394162,0.012719977385256551,0.01089749275521277,0.014894711370284206
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.004057821046111236,0.0040484946250054065,0.0034402120453649442,0.004712896437505778
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.013160074412023546,0.01310155005628122,0.011243577828900309,0.015283944001626894
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.012776267881394162,0.012719977385256551,0.01089749275521277,0.014894711370284206
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.004057821046111236,0.0040484946250054065,0.0034402120453649442,0.004712896437505778
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,3.9038963508086154e-4,3.9014150977934037e-4,3.2426224727153394e-4,4.567001771985879e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.013166657516474991,0.013107641450272212,0.011249552825112063,0.015290911749064894
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-18.783129469779997,-18.741240241616914,-22.757876304014854,-15.194362007917233
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-9.842395278699806,-9.878030944261221,-10.672040839175745,-8.813634547965238
