Scenario,Baseline,Year,Agp,Index,A,M,L,U
Sch,Stay,2013,All,dN_HZ,0,0,0,0
Sch,Stay,2013,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2013,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2013,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2013,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2013,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2014,All,dN_HZ,0,0,0,0
Sch,Stay,2014,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2014,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2014,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2014,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2014,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2015,All,dN_HZ,0,0,0,0
Sch,Stay,2015,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2015,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2015,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2015,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2015,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2016,All,dN_HZ,0,0,0,0
Sch,Stay,2016,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2016,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2016,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2016,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2016,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2017,All,dN_HZ,0,0,0,0
Sch,Stay,2017,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2017,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2017,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2017,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2017,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2018,All,dN_HZ,0,0,0,0
Sch,Stay,2018,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2018,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2018,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2018,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2018,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2019,All,dN_HZ,0,0,0,0
Sch,Stay,2019,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2019,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2019,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2019,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2019,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2020,All,dN_HZ,0,0,0,0
Sch,Stay,2020,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2020,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2020,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2020,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2020,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2021,All,dN_HZ,0,0,0,0
Sch,Stay,2021,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2021,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2021,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2021,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2021,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2022,All,dN_HZ,0,0,0,0
Sch,Stay,2022,All,dN_HZ_Death,0,0,0,0
Sch,Stay,2022,All,PAF_Inc,0,0,-0,-0
Sch,Stay,2022,All,PAF_Mor,0,0,-0,-0
Sch,Stay,2022,All,Avt_Inc,0,0,-0,-0
Sch,Stay,2022,All,Avt_Mor,0,0,-0,-0
Sch,Stay,2023,All,dN_HZ,-366.8890052359051,-387.94514499519573,-866.8766455480458,293.53240815357987
Sch,Stay,2023,All,dN_HZ_Death,-7.166355115285763e-4,-7.555666405622274e-4,-0.0016800605639901822,5.737588788740571e-4
Sch,Stay,2023,All,PAF_Inc,0.003800232720062376,0.0040133174338318235,-0.0030859784809386817,0.009067451065878317
Sch,Stay,2023,All,PAF_Mor,0.0018687601099181886,0.0019618486559249094,-0.0015257985933855884,0.004437745785389493
Sch,Stay,2023,All,Avt_Inc,3.6750638851630114e-4,3.8791199306157726e-4,-2.952286343910071e-4,8.732948570304532e-4
Sch,Stay,2023,All,Avt_Mor,1.7053816993807048e-4,1.7816994722528475e-4,-1.3732473630989029e-4,4.0420313789994456e-4
Sch,Stay,2024,All,dN_HZ,-2566.249042620105,-2621.0897293123708,-3821.9772547496245,-962.8720988351799
Sch,Stay,2024,All,dN_HZ_Death,-0.0029632280806896425,-0.003018065964219052,-0.005244378372079084,-2.6020260810268194e-4
Sch,Stay,2024,All,PAF_Inc,0.027231133675662315,0.02771717795784585,0.010414154448871797,0.04050350916118726
Sch,Stay,2024,All,PAF_Mor,0.007634249035397938,0.00771115988079021,6.333782876959544e-4,0.013787203275935501
Sch,Stay,2024,All,Avt_Inc,0.002684726048243873,0.002752997076176881,6.303770272992146e-4,0.00429405945826989
Sch,Stay,2024,All,Avt_Mor,8.01795917590341e-4,8.162971835308573e-4,-6.169433635110407e-5,0.0015231396010537222
Sch,Stay,2025,All,dN_HZ,-5114.897487887673,-5184.1205144598935,-7135.579708806089,-2653.1040826951003
Sch,Stay,2025,All,dN_HZ_Death,-0.006124347523900613,-0.006193860887250963,-0.010025413669416705,-0.0017992148769546022
Sch,Stay,2025,All,PAF_Inc,0.055717871705146874,0.056507810746835724,0.028665855284785637,0.07768034324533293
Sch,Stay,2025,All,PAF_Mor,0.01554365411417635,0.015633822253400036,0.004648343770072325,0.02605906962298079
Sch,Stay,2025,All,Avt_Inc,0.006795385038641983,0.006930787054663877,0.0027718059800385486,0.009934996070920238
Sch,Stay,2025,All,Avt_Mor,0.001967114863547175,0.0019928369575413106,3.095807391266779e-4,0.003446682086562407
Sch,Stay,2026,All,dN_HZ,-7997.435417131229,-8055.663263613649,-10960.902357843293,-4590.372904205286
Sch,Stay,2026,All,dN_HZ_Death,-0.010382659824318498,-0.010441250095851201,-0.016357471193301998,-0.004275552626485621
Sch,Stay,2026,All,PAF_Inc,0.0896478364219318,0.0903895273692875,0.05198918806440949,0.12278009875554523
Sch,Stay,2026,All,PAF_Mor,0.02589536770000616,0.02583504734755003,0.010562664336254043,0.041464862652696874
Sch,Stay,2026,All,Avt_Inc,0.012598887516710499,0.0127676327758064,0.006247390364465076,0.017733271723277433
Sch,Stay,2026,All,Avt_Mor,0.003747997250712802,0.0037829950852941753,0.0010947204694599427,0.0062803295913387135
